X,Y,name,elevation
-74.0668403189,4.6537421094,193 La Esperanza,
-74.0683317562,4.6455573162,102 Cl 58b,
-74.0688368246,4.643028421,353 Cl Eusalud,
-74.0695676883,4.6386753833,103 Cl 51,
-74.0702807261,4.6355601318,352 Sabio Caldas,
-74.0716176719,4.6340735715,145 Palermo,
-74.0726278087,4.6289505411,351 Urb La Magdalena,
-74.0726515766,4.6269309317,147 La Magdalena,
-74.0720276686,4.6239636944,347 Teusaquillo,
-74.0733349045,4.6204589626,135 Armenia,
-74.0752482225,4.6180884096,027 Cementerio Central,
-74.0780053018,4.6162405277,199 Santafé,
-74.0799839816,4.6151507489,128 Santafé,
-74.0806257156,4.614961222,196 Samper Mendoza,
-74.0832758392,4.6150086037,615 Paloquemao,
-74.0688189987,4.618461539,238 San Martín,
-74.0681594388,4.6223645794,191 Fecode,
-74.0635505579,4.6502321255,231 Parque Lourdes,2490.1
-74.0632515428,4.6516844363,230 Centro Cosmos 64,2475.3
-74.0685813194,4.6643801253,051 Iglesia Siervas de María,
-74.0676068345,4.6656830306,583 Alcázares norte,
-74.0597931291,4.6689876614,755 U San Martín,
-74.0410016132,4.669340036,602 Cra 4,
-74.0446202798,4.6669059827,600 Calle 86A,
-74.0460701232,4.6651885191,NYB,
-74.0485419875,4.6634710513,364 Cl 83,
-74.0566825019,4.6575191047,711 Porciúncula,
-74.0639020092,4.6554048189,326 Av Caracas,
-74.0611181909,4.6585999345,398 Estación cl 72,
-74.0596178406,4.6575487165,319 U Pedagógica Nal,
-74.0549830952,4.655546956,049 Bellavista,
-74.0539283935,4.6571519182,368 Bellavista,
-74.0440260817,4.667592967,601 El Refugio,
-74.040746108,4.6690380006,603 Cra 4,
-74.0693240671,4.6505691808,NAJ Baquero,
-74.0766208202,4.6421000713,038 Galerías,
-74.0752006866,4.6422185211,NAK Galerías,
-74.0737033073,4.6425857153,392 Galerías,
-74.0744876489,4.6378121758,160 IED Palermo,
-74.0748322838,4.6327306304,161 La Soledad,
-74.0717543375,4.6235505901,349 CAI Teusaquillo,
