stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
113,150,Colegio Marillac  ,150A00 Colegio Marillac  ,-74.0732695427,4.6589834067,0,,0,,co,0
114,151,Almacenes Tía  ,151A00 Almacenes Tía  ,-74.0713621667,4.6576864113,0,,0,,co,0
115,152,Cra 17  ,152A00 Cra 17  ,-74.0672324897,4.6547193034,0,,0,,co,0
116,153,Av Caracas  ,153A00 Av Caracas  ,-74.0645526561,4.6533393866,0,,0,,co,0
117,154,La Sabana  ,154A00 La Sabana  ,-74.0886006877,4.6092350029,0,,0,,co,0
118,155,Progreso   ,155A00 Progreso   ,-74.0935123965,4.6020190084,0,,0,,co,0
119,156,El Vergel cl 2B,156A00 El Vergel cl 2B,-74.0950398333,4.5990062691,0,,0,,co,0
120,157,El Vergel  ,157A00 El Vergel  ,-74.0960424196,4.5955278217,0,,0,,co,0
121,159,Paloquemao   ,159A00 Paloquemao   ,-74.0848594087,4.61301718,0,,0,,co,0
122,160,IED Palermo  ,160A00 IED Palermo  ,-74.0744876489,4.6378121758,0,,0,,co,0
123,161,La Soledad  ,161A00 La Soledad  ,-74.0748322838,4.6327306304,0,,0,,co,0
124,162,Partido Conservador Colombiano ,162A00 Partido Conservador Colombiano ,-74.0750373592,4.6274636838,0,,0,,co,0
125,163,Escuela de caballería ,163A00 Escuela de caballería ,-74.0378459904,4.6800862688,0,,0,,co,0
126,163,La Soledad  ,163A00 La Soledad  ,-74.0755521599,4.6273866808,0,,0,,co,0
127,165,La Soledad  ,165A00 La Soledad  ,-74.0752303787,4.6313283546,0,,0,,co,0
128,167,Auto Norte  ,167A00 Auto Norte  ,-74.0540250856,4.6860024903,0,,0,,co,0
129,168,Estación polo  ,168A00 Estación polo  ,-74.0644724286,4.6707332205,0,,0,,co,0
130,169,Estación el Polo ,169A00 Estación el Polo ,-74.0646299546,4.6701529977,0,,0,,co,0
131,170,El Campín  ,170A00 El Campín  ,-74.0730053199,4.6493968748,0,,0,,co,0
132,171,Paloquemao   ,171A00 Paloquemao   ,-74.0859860349,4.6156728491,0,,0,,co,0
133,175,Cli Meredi  ,175A00 Cli Meredi  ,-74.0832620508,4.6239781218,0,,0,,co,0
134,177,CAI Paloquemao  ,177A00 CAI Paloquemao  ,-74.0864331904,4.612615076,0,,0,,co,0
135,177,Estación Simón Bolívar ,177A00 Estación Simón Bolívar ,-74.0773581248,4.657762195,0,,0,,co,0
136,178,Estación Avenida Chile ,178A00 Estación Avenida Chile ,-74.0733482039,4.6672633054,0,,0,,co,0
137,179,Estación NQS cl 75,179A00 Estación NQS cl 75,-74.0704829444,4.6706138497,0,,0,,co,0
138,182,Teusaquillo   ,182A00 Teusaquillo   ,-74.0741058381,4.6239530785,0,,0,,co,0
139,183,Teusaquillo   ,183A00 Teusaquillo   ,-74.0742428032,4.6236720277,0,,0,,co,0
140,184,Federación Colombiana de Fútbol,184A00 Federación Colombiana de Fútbol,-74.0714899193,4.6212555614,0,,0,,co,0
141,186,San Luis  ,186A00 San Luis  ,-74.0735108312,4.6450869972,0,,0,,co,0
142,187,San Luis  ,187A00 San Luis  ,-74.0738449077,4.6468040679,0,,0,,co,0
143,188,Galerías   ,188A00 Galerías   ,-74.0740717482,4.6438225033,0,,0,,co,0
144,191,Fecode   ,191A00 Fecode   ,-74.0681594388,4.6223645794,0,,0,,co,0
145,192,Rafael Uribe  ,192A00 Rafael Uribe  ,-74.0693894289,4.6561998977,0,,0,,co,0
146,193,La Esperanza  ,193A00 La Esperanza  ,-74.0668403189,4.6537421094,0,,0,,co,0
147,194,Samper Mendoza  ,194A00 Samper Mendoza  ,-74.0819804873,4.6164655905,0,,0,,co,0
148,195,   ,195A00    ,-74.09323803,4.6026055469,0,,0,,co,0
149,196,Samper Mendoza  ,196A00 Samper Mendoza  ,-74.0806257156,4.614961222,0,,0,,co,0
150,197,Santafé   ,197A00 Santafé   ,-74.0789857287,4.6180884096,0,,0,,co,0
151,198,F Oftalmológica Nacional ,198A00 F Oftalmológica Nacional ,-74.06559676,4.6374676019,0,,0,,co,0
152,199,Santafé   ,199A00 Santafé   ,-74.0780053018,4.6162405277,0,,0,,co,0
153,200,San Andresito  ,200A00 San Andresito  ,-74.0906151917,4.6064124451,0,,0,,co,0
